product_id,product_weight_g,product_length_cm,product_height_cm,product_width_cm
c5d8079278e912d7e3b6beb48ecb56e8,1300.0,19.0,28.0,17.0
334479e94cba98064050db1c9636e244,200.0,20.0,20.0,20.0
4e1d2ef2974c85d82582edfe594a4f57,300.0,25.0,10.0,20.0
d113f30e283c07474573b9032b03d76e,450.0,20.0,16.0,15.0
d218a47759ef0d1db44044934909b88b,350.0,17.0,11.0,11.0
59dae5028ffa06d8f0151bf1fa97b7e6,1000.0,36.0,15.0,25.0
4508e088c4a07e0ad64f6fa3751e314a,400.0,20.0,19.0,19.0
30e77af9e7759bbaa0305d2fbc605dc4,2000.0,32.0,12.0,37.0
fdeb34a9f03fea7c3937dd62d1d0287e,1100.0,28.0,15.0,20.0
3b8c35749c58362366b608a1745b4a55,200.0,27.0,14.0,23.0
0d826eba8e0a2ae3bca9e3a947dd756d,250.0,20.0,14.0,12.0
4e04ffb7dd3739ecfc37de8927dd586c,500.0,24.0,7.0,16.0
f8f6fd145cc00519283cf3100477b2b3,1500.0,22.0,16.0,11.0
36555a2f528d7b2a255c504191445d39,1700.0,36.0,16.0,26.0
6ec96c91757fad0aecafc0ee7f262dcc,9550.0,36.0,35.0,35.0
22937a73f92a33040ab4e2540355a5d8,100.0,16.0,5.0,11.0
f5c8a945826f5682f301ffdfd954df38,300.0,19.0,10.0,15.0
3becff10d1deb92b02f2a1ee62a04524,6150.0,30.0,30.0,20.0
bfc1d1c62b1f7f401d8d9dda962bb870,950.0,60.0,15.0,15.0
3013682507f5a8d6e8c1a43c19785385,500.0,68.0,8.0,13.0
3d8cd2be3ed79c7709b7abc32ed02575,4250.0,28.0,47.0,20.0
c4e71b64511b959455e2107fe7859020,200.0,18.0,15.0,15.0
a0b7d5a992ccda646f2d34e418fff5a0,12200.0,40.0,40.0,40.0
9a7c6041fa9592d9d9ef6cfe62a71f8c,1250.0,25.0,5.0,25.0
575c38b4c88fc7b35ef22fc8312bfe1b,1200.0,44.0,20.0,20.0
556702ebb73d3786a852ad3d5a8ad268,4800.0,25.0,8.0,25.0
83808703fc0706a22e264b9d75f04a2e,700.0,31.0,13.0,20.0
0d009643171aee696f4733340bc2fdd0,500.0,16.0,8.0,11.0
3066cffc47fd2bc9fc2dcd22510266ed,350.0,16.0,16.0,11.0
d73bf13793d7780a5cfdcb9fa0cf88d1,2100.0,45.0,15.0,35.0
75b4372e69a42f8ae1d908c076f547b2,1050.0,28.0,12.5,18.6
a3c95dc653d9a279b160bc0179385ed1,1750.0,30.0,18.0,30.0
0992c6cba95a13bfa68ea7d5e22d478b,3850.0,29.0,12.0,24.0
b1eae565a61935e0011ee7682fef9dc9,600.0,16.0,8.0,11.0
f9ecf420c38b90a8af8e7f70fd789264,600.0,50.0,10.0,12.0
3e0f398b664b26e3224c79dbf435191f,400.0,16.0,4.0,11.0
64c8f1a52b407d92518a1f8b79240a70,100.0,18.0,6.0,11.0
e5249a86cccee0a858dd8636e7ba3f19,6900.0,62.0,35.0,52.0
e7bbe385be4c8be8d2c92c6311e388ca,2600.0,47.0,21.0,41.0
d8a405c732027a2af3187b031890933d,200.0,35.0,4.0,26.0
3f0f8de616df6efb39a48f3c64eea974,1300.0,50.0,12.0,12.0
723f62c36c298037716bf60c0ad0df3a,250.0,16.0,2.0,11.0
c33d78b97260227119fb2b71be168fca,650.0,27.0,10.0,22.0
173bede3a9c5167765a4f08e75b079e6,450.0,30.0,10.0,24.0
67bea89008edcb996cfe4e3d062b62a8,1200.0,23.0,22.0,16.0
e8e86cbab028363545a5bf0ca5e226ee,6050.0,55.0,10.0,46.0
68a5c93f071ac7b4e98422a9f004a580,2450.0,25.0,10.0,25.0
8efa775719397f78f79c8e5c7b0afbd4,1000.0,30.0,18.0,18.0
a0abcee0132a5aed003d98e459b37698,2700.0,45.0,13.0,35.0
1eb4a9aee05c9cad041e09add2a26d68,800.0,38.0,8.0,28.0
f17b05cc8a7651896df8c30884200e9a,2000.0,32.0,51.0,16.0
f908df99196805b5bc4ada9ef510b11b,1950.0,60.0,15.0,15.0
c190c4fe582c5b7ffff586506de83f01,250.0,26.0,14.0,14.0
ad67f74682943e3857eebf3ca2538d1a,1800.0,41.0,9.0,34.0
1e12f1836c1f08b25ef78fcdf76fbf08,900.0,37.0,3.0,23.0
b6ca85d3268f06379b2f591a1f3e9307,700.0,16.0,30.0,11.0
acd427ee119d5c71c7a85ae488cb0a6a,200.0,16.0,2.0,11.0
60cf4effb6947283fa638d570bd07318,4500.0,80.0,70.0,28.0
bb09cce52b336261572a5a7e25a33795,550.0,16.0,25.0,12.0
a24aa2a2b3dbec4c75762163922b0d00,600.0,31.0,8.0,17.0
5a42f73d92034010a4e00360fb0df099,300.0,16.0,6.0,11.0
c395c16642c05dc2a991e511342b5041,1050.0,50.0,16.0,16.0
3cef8174403f4fdedbf24fa67fa9f132,1800.0,18.0,32.0,27.0
5877301b00f95e3c6118738b293dfab3,1500.0,65.0,8.0,38.0
e0bbe6292471ff5ab3752414baf78111,500.0,16.0,11.0,11.0
dd768d259ee6054e0dadd66c8e2be0b6,350.0,16.0,10.0,16.0
5176075fcd3ddabc15dbb455dd5ebd92,250.0,16.0,9.0,11.0
db7e6804f1a8206a7e51c9a741a09d9e,300.0,24.0,11.0,24.0
88d2c501ec765f5d7e8038fa6aab0e62,10700.0,40.0,40.0,40.0
43b6d9e46e1e6b8ac743a1c31e462937,7700.0,39.0,28.0,25.0
36d6b51a6bc34e5338eab7eda7716fd9,1000.0,26.0,33.0,13.0
1ffe365aa7583189e63f2fa4f060b269,5200.0,20.0,60.0,35.0
3014e35fd70fce29095ced5cdc89f4ce,100.0,16.0,3.0,11.0
e869d449cc32881790ef9af9b4c670f8,15700.0,58.0,28.0,58.0
799e6a3ca8b5722a5e71ade5ddc99701,150.0,16.0,9.0,11.0
7fdbc1ecf5fdf5c98d9b14e110133eb3,200.0,16.0,2.0,11.0
15b3d40f375c0645c1eed4ed1cd8e17a,150.0,16.0,11.0,11.0
1cf39a397efa955b102a52ee7ec5531c,18200.0,56.0,15.0,15.0
f9471562478eba8761bc985b968a0092,850.0,18.0,21.0,15.0
c42b3d721bb3f5e06f0e88418b97aa2c,900.0,30.0,10.0,41.0
257edca523f797d6c803969b5893be9a,15000.0,43.0,40.0,40.0
16b06ede456b922e56fbb4b3818aa875,200.0,16.0,9.0,11.0
c7147724cd430269c6296fc758c0a086,300.0,16.0,15.0,11.0
ed46d1fbd7bf78ce79910c09fb892abb,800.0,20.0,25.0,25.0
dbb399a8be7395d5b136d49fcdce13df,200.0,16.0,2.0,11.0
088a4fbb30b8624c21c35231f2b33c35,1800.0,44.0,9.0,34.0
0383aa2f152bfb0853079f9c3e07b028,200.0,17.0,6.0,12.0
d458378a178cd7cae60052319cebf235,200.0,24.0,7.0,14.0
8c9faf6aabee9b2a30b83f92d786f6de,1000.0,24.0,5.0,17.0
8e71b24c3e25a92fef6176120a67fac7,900.0,16.0,14.01,15.0
828fe032935d7c1901682e5b6cc076c2,600.0,20.0,20.0,20.0
19502a282608c5627fb32e22724727fc,11650.0,55.0,30.0,30.0
657491063e8a63247a108a4d9cedf020,3050.0,40.0,10.0,40.0
4c6018f41a6c2e5543cc034e94f5ce5b,16500.0,40.0,25.0,26.0
6b017e0d95d8765a6f2bed3bc272c61e,250.0,36.0,4.0,20.0
9aa70106d14b83c7ad033592870b2b30,500.0,20.0,20.0,20.0
42fe4aefc7e8a45dd96a59af81dd3fef,1300.0,20.0,20.0,20.0
4bcf8901824e44c6ad84d3644411cfe2,6300.0,45.0,15.0,35.0
b29ca3d3127057c43ef4b364bbe360ea,1200.0,17.0,35.0,17.0
0d776bc39ad8836c58c0c15a0dbd9b91,700.0,16.0,27.0,17.0
5e21d5cab5d33e770d8150a4ee6117db,200.0,16.0,2.0,11.0
55610b8b7d48294e69fc23f513dfbe98,400.0,16.0,20.0,16.0
68bfdbfe84f03af17733b10362f10020,600.0,29.0,12.0,23.0
9134026d2e5300bc0d0021d70937ff64,350.0,16.0,16.0,16.0
5fb61f482620cb672f5e586bb132eae9,300.0,35.0,7.0,12.0
701ff123e9085dcc9c2f833efded6374,10050.0,70.0,20.0,30.0
42f14eda412436b96cde4f4025ed5f25,500.0,16.0,2.0,11.0
73b499a2f5002c0a2158a478cc5a096c,1800.0,50.0,12.0,36.0
446295cf6f689d4db477145815362608,1400.0,16.0,44.0,37.0
4a96de21ccfb22ebe1c56992acbbd7fc,1300.0,30.0,10.0,30.0
8bb6ace4cf2411747ea1cfecad5a458d,6000.0,75.0,15.0,50.0
8f98dd6c31662290001020a383af58a2,3100.0,56.0,16.0,43.0
bbaef2eadf31fe3ea6702077398be06c,400.0,18.0,11.0,11.0
44eaaecf442549bbbf034951d083a08e,8000.0,58.0,20.0,58.0
14eb1c5387bc6b9df0dc2daa256fc8d3,300.0,23.0,4.0,15.0
f4d705aa95ccca448e5b0deb6e5290ba,250.0,20.0,2.0,15.0
21d325f98c6505a72b1bcf363f3d3f88,1000.0,29.0,19.0,22.0
f6691c7e7a0c12d28003c97608dfe605,950.0,40.0,6.0,40.0
cbb56af609f7484fe37557e207f53f5c,100.0,19.0,3.0,11.0
c615805546392ec3b8a20c6590c4d400,2000.0,30.0,34.0,17.0
e07f6e9343cad06f34d0a7a09eeac4d7,350.0,16.0,11.0,11.0
d7d9cfd020c6440a27e9b6a1be83bc4a,18000.0,60.5,46.0,39.0
f3650019c676932b11deb4058539d044,1800.0,45.0,25.0,35.0
69ea7a6d5cf002455039fa879a470e13,1750.0,60.0,23.0,43.0
8901882d5c81808025cd590ab9b646e7,300.0,24.0,7.0,14.0
dd783a33bc94bef9c728611320d559e7,150.0,16.0,12.0,11.0
5e048b6639e9532d3a12fe5109c9823e,300.0,16.0,5.0,11.0
795ed173180b101b114960e572d2181f,700.0,45.0,10.0,31.0
40a75445dcf4958b8c9b3dac6898094b,400.0,34.0,16.0,16.0
bdc96686707660997501f061b320b43d,200.0,20.0,13.0,15.0
d801448d8cf48fd15a66dc8779d47241,250.0,16.0,11.0,11.0
d1fbb5683c8e93f314d0f2bf40d07761,1500.0,39.0,12.0,25.0
4e7f36f28c51e114a343625b628dd429,400.0,25.0,12.0,12.0
532d7f19b8005e415f5b98a1cf4a8690,400.0,16.0,10.0,14.0
58bef3ad35aed45b92cf03510e6cf5ce,1300.0,31.0,32.0,31.0
7715f1bd1e7b7886328a8b41586b91b2,1150.0,37.0,23.0,35.0
c752f2bc46ad4b389290cf5828a1db62,1000.0,30.0,10.0,17.0
7207700449f2433076d70a5b1c004eb4,800.0,16.1,3.55,44.0
582dfc3697c5f834a5ddf28460ba9222,300.0,25.0,10.0,25.0
ecaae002060173ec59f5b168cbd55d70,950.0,24.0,18.0,18.0
990341289252680d1ddce2bec6a0351e,500.0,40.0,5.0,30.0
bca8f1704717518a4cd09c1f89404ed1,3700.0,25.0,35.0,35.0
4fe53f6c123977ffa0dda91a2962c9e8,300.0,40.0,10.0,27.0
84e1b9c6ba2ed178bd217097b41f1251,19800.0,31.0,82.0,42.0
82d1cfe8a423d43d838c99fc2e7d5b98,12000.0,65.0,25.0,45.0
b166907a5770631b7deedd0891b1b7ab,1100.0,55.0,5.0,40.0
1594233bd48fe1f9b2f71ef58106adc9,500.0,16.0,8.0,12.0
2de8789bf8abcd2f6c7866f9429b1986,1900.0,50.0,13.0,70.0
5f16d17149e01082f317f43ebfeb7d87,500.0,18.0,18.0,18.0
302a19dacdbb5ed2f74f9dee8126ef79,250.0,17.0,7.0,24.0
420b8c4c0ff2bff2b40a8a7a3993cc00,1650.0,45.0,15.0,35.0
0a17941f41b99d2f070fab54b458a4a4,300.0,16.0,23.0,19.0
b4135c05720c4a8e249cad461d214f98,7150.0,45.0,31.0,28.0
98190f6a2c3253d07ca86525bb238162,2100.0,72.5,4.5,12.0
a1bf559ac1eab015ba992bd76d9d76c7,200.0,39.0,2.0,30.0
6b75ce117b8fcc75289cb6cbe589de6c,455.0,36.0,18.0,27.0
5cfe07a11fd4f35d3c5ca21cd60cee6e,750.0,22.0,12.0,33.0
23ab7bb9eac81e85ec43ed71064cf7ce,550.0,16.0,10.0,16.0
78119fbfa709d07b86f5ccf15043c6d6,200.0,18.0,8.0,12.0
34607082301052079a3bffcd12c5ecfb,3150.0,30.0,17.0,30.0
3092404aa6acb2b3c9db15993f3a3e9c,450.0,16.5,10.5,11.0
4ceab0364ce2bef8363b89f4719bbff7,2100.0,53.0,27.0,40.0
c9fe02894880831f6f28d5ac212d036f,250.0,40.0,25.0,25.0
3c883b9d3fd2d0ce448d4136349dc0a4,1100.0,16.0,10.0,16.0
0f83f92013a067ef68262f8982de072a,10200.0,28.0,13.0,21.0
f2c1df0fc307ec60e3321c708c1dcac3,850.0,40.0,6.0,50.0
cd7701670288642f7be9437dec9034c1,400.0,16.0,20.0,15.0
15cd31f93b25e5a517f05b1af31d353f,400.0,20.0,20.0,20.0
3519403062e217f433e0bbdc52e0b19f,200.0,16.0,2.0,16.0
37dffde0476450e75dae423136954b0f,250.0,20.0,20.0,20.0
d68bd4dedccc5545b1ff6629de8fb021,1950.0,17.0,11.0,12.0
e4c0d69bafff0157f574aae9a147a8c1,300.0,35.0,10.0,25.0
d19d6968c8fa843da04bf9c9d23c312f,400.0,16.0,7.0,11.0
c6336fa91fbd87c359e44f5dca5a90ed,150.0,16.0,16.0,11.0
ba28a35e27e48823097a63e1e39fbfcf,150.0,17.0,23.0,12.0
aba0932cedf32b2a7b6b832f11769613,2000.0,30.0,12.0,16.0
4bae12e58c9b828e1302a2cad437b80a,450.0,17.0,7.0,17.0
74f250adf8f41738ca96718232a41499,300.0,16.0,30.0,20.0
f9aaa1a758096abb78ea4443a369a7c6,1300.0,30.0,5.0,20.0
a7ca1d353da7ae994d0d9e650c9fb3a8,500.0,25.0,20.0,20.0
1ce0e963805e3c170485768e8b09fe65,800.0,25.0,25.0,25.0
a9f9a111d1a52b78bb5ae37f5d2ae0f5,1350.0,38.0,10.0,38.0
82a550572b81ed9e63c30b5373129154,400.0,18.0,9.0,15.0
794de06c32a626a5692ff50e4985d36f,300.0,18.0,8.0,14.0
d656bc046fce6f404f64bc8c49aecd80,300.0,19.0,11.0,37.0
a530b23a71594d0d986a30359e207762,1400.0,65.0,12.0,12.0
c2ba667d10e9c5da7287aac77112a53c,1250.0,16.0,33.0,12.0
54ecf63517ed870be328f613b4739c31,10200.0,20.0,55.0,35.0
3da6f3c6c1ac8c36ff45b1a493a44e82,3000.0,69.0,11.0,11.0
8a4667ce8c036b0d54dd65a38298bfc0,950.0,46.0,10.0,33.0
e9d1dace4d5ca1a7ff352bb0e76953a3,3600.0,27.0,32.0,27.0
26d114f0b4f14f5e3b3db0e211019777,17400.0,42.0,35.0,42.0
8c854d1cbd43ab6bcd3de3d58efd50fa,13300.0,47.0,41.0,33.0
ef22b718807d8b96162d9b021912f178,300.0,16.0,2.0,11.0
2029248294c186017ecfc48cecd47bbd,3250.0,32.0,14.0,22.0
acfc0fd945c522a0d2266d45bcdd91c6,650.0,21.0,18.0,20.0
e8f22df5fa5b454907286aa61d6216a8,1500.0,22.0,12.0,33.0
4da06dee0a480b5d666886ea00b4d9b3,250.0,32.0,3.0,23.0
9c2f0fbdca5b517e545c54f4e360cab3,1150.0,93.0,5.0,11.0
185013b2b9237c14bd26a394d9fda023,150.0,20.0,8.0,13.0
5e459bd31247ee46fa95b09556600a6a,300.0,29.0,7.0,16.0
8a2d3285de64b2117fbf83784acd09fc,250.0,16.0,27.0,15.0
b3f29e4bbae3c829f7c4231074c307ee,14850.0,35.0,102.0,35.0
062597771ee91356ea34084f28c03a4b,300.0,16.0,2.0,11.0
e71ba6dc5ef4b3bada7ee8d17304d31e,1700.0,16.0,16.0,15.0
8d51190d4e52d32e6abf3d0551501114,200.0,19.0,3.5,11.0
b0cd550945da1de6eb9cb69595d540df,900.0,16.0,16.0,16.0
b5574382319065cf09aa9f7b78c53a30,250.0,16.0,4.0,11.0
ce130b350f529a1d6288f927da7404ea,1450.0,45.0,10.0,15.0
454157d7294823cc44ad21d4fe31474a,200.0,16.0,11.0,11.0
f0737b524fe6b57f2ad4f174ce23a62c,12600.0,20.0,10.0,20.0
3c2f792f1041177a81913a977431a99e,200.0,20.0,20.0,20.0
e28b2bdc61b0c1c935af5f2e985c29fc,700.0,22.0,15.0,22.0
e0308b7bb8bf4c39bb866c7cc2f1f822,200.0,16.0,13.0,13.0
0d8c64a12c0e49b2515674c031b965a1,2200.0,20.0,20.0,20.0
aa07ededca7fcb83b7af7d3b39a79133,250.0,21.0,8.0,27.0
e5d860a0fff2e94bd1a406456cc6c4b3,13200.0,66.0,19.0,67.0
eca26be90d3b3454dd69a13a05bdb46e,200.0,16.0,2.0,11.0
f092eaa771e3dca0bfeca32b5c9d5669,3350.0,30.0,30.0,30.0
debefa981200019b8c4a45d0176125a6,2200.0,42.0,11.0,36.0
d0877f0094337c414d23f5a3c7bad20c,30000.0,50.0,50.0,30.0
4ed86bcb86407328452ac1c5b3b89d67,500.0,30.0,8.0,35.0
e117ca2a90cfd40b93450b0b60f834e4,1800.0,45.0,10.0,34.0
63f7cd79973145c9e6bb11c5fd03e82e,150.0,16.0,9.0,11.0
a2bd2eae20998a24c22b110334928b02,700.0,19.0,48.0,34.5
f1396e9aa86ef3a2f8669cb57d86986f,250.0,27.0,13.0,17.0
55103cbbe0851d3a303a022cc4140628,2900.0,40.0,55.0,30.0
abaf94912f10c7895c177ed9fc0d5f2d,450.0,20.0,6.0,15.0
f97d74310019b255120e4316f4515d74,200.0,16.0,9.0,11.0
9a5a361f3cd6c280f6bf4ffb6207c51e,200.0,21.0,7.0,14.0
c354569eefd558bf201d0aedf35608ed,700.0,49.0,4.0,50.0
0bd2cc8cc48bd62f370f6489d83c6828,2555.0,50.0,17.0,48.0
457c5f8a59156ce6315753d8d788a16a,200.0,16.0,2.0,11.0
434de6751e0708d768ecd0ddd3bd9d3e,1250.0,19.0,12.0,16.0
76df076d70248fa44de6ed8c31a1a9b5,1000.0,26.0,8.0,33.0
dcd2719ae6fa0f70c619c026092c4ec8,300.0,30.0,10.0,20.0
e63e00cfcd91a5b34c13e2134671e842,6700.0,45.0,54.0,15.0
1dfb36d969d347f56f43590ec42c7b8c,900.0,26.0,6.0,13.0
a1e9b0d76a76ff474f4a4374fcfb8c42,1800.0,28.0,12.0,18.0
a1d17216996bf0cbba886f91bfd31c77,200.0,18.0,6.0,12.0
ae728f68e1fe806253238e93f2bfc324,500.0,18.0,18.0,18.0
22776ebd2bfdf5f55499fd324862a673,500.0,20.0,8.0,14.0
6b5af19067eeadc0f331687a79ca656b,600.0,16.0,6.0,11.0
f14aa2ba817ef24ccf7f99c0ccfab59a,450.0,16.0,16.0,16.0
f2d80346f1dd6986e9e6611db7b708aa,50.0,16.0,2.0,11.0
b97114b2893e68400ae867459b491bcd,360.0,36.0,6.0,26.0
1f64ec386a6be322e71596931f5d2377,200.0,16.0,22.0,11.0
73abb8b952825882e55fbf88f8850475,200.0,16.0,21.0,12.0
0417855683de23ba1e20e8a358a5ac7c,2000.0,70.0,10.0,35.0
769cc5a32d4e6c7710013f35a73d45e9,1100.0,32.0,5.0,30.0
e24f73b7631ee3fbb2ab700a9acaa258,2250.0,22.0,15.0,20.0
65b31655abc31239c74d37ffc6870a4b,900.0,42.0,3.0,42.0
11dc4053871ff53ff79fb1fc7e6b160f,1600.0,100.0,7.0,11.0
9bcd14c9a5b9f7ea1073fb5f18afe335,2700.0,54.0,27.0,36.0
8729e9bc4b7f0422448d80ed35ae329d,1650.0,25.0,30.0,20.0
eced39e6c33db4b865ea46d12dde67d8,650.0,35.0,10.0,15.0
bad5bc36e62c12c840045474c6dbe021,900.0,21.0,34.0,34.0
fa9cf28beaafe4f4bec59550f6c76481,400.0,35.0,6.0,15.0
59650c127b8c86af0ad8cf7034532fc7,20700.0,62.0,27.0,57.0
0bb7cb61f1957f79dac582ab66ccdc1f,700.0,20.0,10.0,15.0
334995514673fb6bae67885458b52984,250.0,25.0,25.0,25.0
95578be74a242e7a0eae084908bbb5f8,14900.0,58.0,28.0,58.0
288d91794eb2b14fed9ed5e469cb87c3,1100.0,16.0,10.0,16.0
